genus_species,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples,obs_id
cyprinus carpio,finfish,catfish (wild),US-South Carolina,7.125,NA,NA,NA,NA,karimi,"Koli AK, Williams WR, McClary EB, Wright EL, Burrell TM. 1977. Mercury Levels in Freshwater Fish of State of South-Carolina. Bull Environ Contam Toxicol 17(1):82-89.",2,contam338
cyprinus carpio,finfish,catfish (wild),US-Maryland,6.934998482465744,NA,NA,NA,NA,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,2,contam339
dasyatis americana,finfish,NA,US-Florida,16.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam340
dasyatis sabina,finfish,NA,US-Florida,23.75,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam341
dasyatis sabina,finfish,NA,US-Florida,23.75,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam342
dasyatis sabina,finfish,NA,US-Florida,15.2,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam343
dasyatis sabina,finfish,NA,US-Florida,9.5,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam344
dasyatis sabina,finfish,NA,US-Florida,31.349999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam345
dasyatis say,finfish,NA,US-Florida,1.9,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam346
dasyatis say,finfish,NA,US-Florida,6.65,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam347
dasyatis say,finfish,NA,US-Florida,10.45,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam348
dasyatis say,finfish,NA,US-Florida,19,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam349
decapterus pinnulatus,finfish,NA,US-hawaii,6.839999999999999,57.699999999999996,345.7,9.2,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam350
diapterus auratus,finfish,NA,US-Florida,17.099999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam351
diapterus plumieri,finfish,NA,US-Florida,7.6,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam352
diapterus plumieri,finfish,NA,US-Florida,11.399999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam353
diapterus plumieri,finfish,NA,US-Florida,11.399999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam354
diplectrum formosum,finfish,NA,US-south atlantic,58.9,10,212.5,4,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam355
diplodus holbrooki,finfish,NA,US-south atlantic,19.474999999999998,64.4,530,8.7,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam356
doryteuthis (amerigo) pealeii,finfish,squid-Atlantic longfinned,US,9.025,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,4,contam357
elops saurus,crustacean,NA,US-gulf,112.1,33,866.6,16,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam358
elops saurus,finfish,NA,US-Florida,8.549999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam359
elops saurus,finfish,NA,US-Florida,32.3,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam360
elops saurus,finfish,NA,US-Florida,17.099999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam361
elops saurus,finfish,NA,US-Florida,50.349999999999994,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam362
elops saurus,finfish,NA,US-Florida,68.39999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam363
elops saurus,finfish,NA,US-Florida,34.199999999999996,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam364
engraulis mordax,finfish,anchovy-California,US-California,4.2749999999999995,NA,NA,NA,NA,karimi,"Greenfield BK, Jahn A. 2010. Mercury in San Francisco Bay forage fish. Environ Pollut 158(8):27162724.",14,contam365
eopsetta jordani,finfish,NA,US-california,16.625,66.9,236.7,10.5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam366
eopsetta jordani,finfish,NA,US-pacific-northwest,32.964999999999996,43.3,727.7,5.6000000000000005,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam367
epinephelus drummondhayi,finfish,NA,US-south atlantic,17.005,45.300000000000004,279.8,6.9,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam368
epinephelus drummondhayi,finfish,NA,US-Florida,19,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam369
epinephelus flavolimbatus,finfish,NA,US-Florida,35.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam370
epinephelus flavolimbatus,finfish,NA,US-Florida,21.849999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam371
epinephelus itajara,finfish,NA,US-gulf,15.674999999999999,47.099999999999994,548,0,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam372
epinephelus itajara,finfish,NA,US-gulf,28.309999999999995,40.699999999999996,250.4,5.6000000000000005,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam373
epinephelus itajara,finfish,NA,US-Florida,109.24999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam374
epinephelus itajara,finfish,NA,US-Florida,12.35,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam375
epinephelus itajara,finfish,NA,US-Florida,33.25,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam376
epinephelus morio,finfish,NA,US-gulf,43.035000000000004,30.8,240.49999999999997,5.6000000000000005,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam377
epinephelus morio,finfish,NA,US-gulf,54.14999999999999,34.4,246.3,5.800000000000001,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam378
epinephelus morio,finfish,NA,US-gulf,24.89,35.4,220.29999999999998,6.2,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam379
epinephelus morio,finfish,grouper-red,US,33.75666666666666,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,3,contam380
epinephelus morio,finfish,NA,US-Florida,32.3,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam381
epinephelus morio,finfish,NA,US-Florida,25.65,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam382
epinephelus morio,finfish,NA,US-Florida,31.349999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam383
epinephelus morio,finfish,NA,US-Florida,35.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam384
epinephelus niveatus,finfish,NA,US-Florida,90.25,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam385
epinephelus niveatus,finfish,NA,US-Florida,24.7,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam386
epinephelus niveatus,finfish,NA,US-Florida,23.75,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam387
esox lucius,finfish,pike-northern,Canada - Ontario lakes,70.509,NA,NA,NA,NA,karimi,"Kidd KA, Hesslein RH, Fudge RJP, Hallard KA. 1995. The influence of trophic level as measured by delta N-15 on mercury concentrations in freshwater organisms. Water Air Soil Pollut 80(14):1011-1015.",18,contam388
esox lucius,finfish,pike-northern,Canada - Ontario lakes,49.4,NA,NA,NA,NA,karimi,"Wren CD, Scheider WA, Wales DL, Muncaster BW, Gray IM. 1991. Relation between Mercury Concentrations in Walleye (Stizostedion vitreum vitreum) and Northern Pike (Esox lucius) in Ontario Lakes and Influence of Environmental-Factors. Can J Fish Aquat Sci 48(1):132-139.",79,contam389
esox lucius,finfish,pike-northern,Canada - Northern Manitoba,53.32254999999999,NA,NA,NA,NA,karimi,"Brinkmann L, Rasmussen JB. 2010. High levels of mercury in biota of a new Prairie irrigation reservoir with a simplified food web in Southern Alberta, Canada. Hydrobiologia 641(1):11-21.",54,contam390
esox lucius,finfish,pike-northern,Canada-Canadian Shield,48.9915,NA,NA,NA,NA,karimi,"Garcia E, Carignan R. 2000. Mercury concentrations in northern pike (Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments. Can J Fish Aquat Sci 57:129-135.",19,contam391
esox lucius,finfish,pike-northern,Canada - Northern Manitoba,127.3,NA,NA,NA,NA,karimi,"Jackson TA. 1991. Biological and environmental control of mercury accumulation by fish in lakes and reservoirs of Northern Manitoba, Canada. Can J Fish Aquat Sci 48(12):2449-2470.",7,contam392
esox lucius,finfish,pike-northern,Northern Canada-lakes/river systems,35.91,NA,NA,NA,NA,karimi,"Lockhart WL, Stern GA, Low G, Hendzel M, Boila G, Roach P, et al. 2005. A history of total mercury in edible muscle of fish from lakes in northern Canada. Sci Total Environ 351:427-463.",1169,contam393
esox lucius,finfish,pike-northern,Great Lakes,23.465,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,23,contam394
etelis marchi,finfish,NA,US-hawaii,50.065,49.9,1072,7.6,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam395
euthynnus alletteratus,finfish,NA,US-gulf,76.57000000000001,43.4,245.1,7.3,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam396
euthynnus alletteratus,finfish,tuna-little thunny,US-Gulf,102.6,NA,NA,NA,NA,karimi,"Cai Y, Rooker JR, Gill GA, Turner JP. 2007. Bioaccumulation of mercury in pelagic fishes from the northern Gulf of Mexico. Can J Fish Aquat Sci 64(3):458-469.",9,contam397
euthynnus alletteratus,finfish,tuna-little thunny,US-Louisiana,121.78999999999998,NA,NA,NA,NA,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,1,contam398
euthynnus alletteratus,finfish,tuna-little thunny,US,94.32142857142857,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,7,contam399
euthynnus alletteratus,finfish,NA,US-Florida,204.25,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam400
euthynnus alletteratus,finfish,NA,US-Florida,38,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam401
euthynnus alletteratus,finfish,NA,US-Florida,59.849999999999994,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam402
euthynnus alletteratus,finfish,NA,US-Florida,75.05,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,contam403
euthynnus pelamis,finfish,NA,US-pacific,8.36,70.8,216.1,14.299999999999999,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam404
euthynnus pelamis,finfish,NA,US-hawaii,19,52.300000000000004,349.8,7.3,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam405
euthynnus pelamis,finfish,NA,US-california,11.399999999999999,46.1,516.9,8.799999999999999,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam406
farfantepenaeus aztecus,finfish,shrimp-brown,US-Florida,2.6559055,NA,NA,NA,NA,karimi,"Kannan K, Smith RG, Lee RF, Windom HL, Heitmuller PT, Macauley JM, et al. 1998. Distribution of total mercury and methyl mercury in water, sediment, and fish from south Florida estuaries. Arch Environ Contam Toxicol 34(2):109-118.",2,contam407
farfantepenaeus aztecus,finfish,shrimp-brown,US-Louisiana,1.9,NA,NA,NA,NA,karimi,"Mueller CS, Ramelow GJ, Beck JN. 1989. Mercury in the Calcasieu River Lake Complex, Louisiana. Bull Environ Contam Toxicol 42(1):71-80.",1,contam408
farfantepenaeus aztecus,finfish,shrimp-brown,US-Gulf,2.818333333333333,NA,NA,NA,NA,karimi,"USEPA (U.S. Environmental Protection Agency). 2006b. Regional Environmental Monitoring and Assessment Program (REMAP). Available: http://www.epa.gov/emap/remap/html/data.html (Texas, 1993-1994) [accessed 21 June 2006].",3,contam409
farfantepenaeus aztecus,finfish,shrimp-brown,US-Gulf,4.8499188888888884,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011c. Environmental Monitoring and Assessment Program (EMAP). Available: http://www.epa.gov/emap/ (Louisianian Province 1991-1994) [accessed 3 February 2011].,9,contam410
fusitriton oregonensis,mollusc,Oregon triton,NA,0.72,NA,NA,NA,NA,burger,"Burger, Joanna, Michael Gochfeld, Christian Jeitner, Sean Burke, Tim Stamm, Ronald Snigaroff, Dan Snigaroff, Robert Patrick, and Jim Weston. Mercury levels and potential risk from subsistence foods from the Aleutians. Science of the Total Environment 384, no. 1-3 (2007): 93-105.",NA,contam411
gadus chalcogrammus,finfish,pollock-Pacific,US-Alaska,4.085,NA,NA,NA,NA,karimi,State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011].,186,contam412
gadus macrocephalus,finfish,NA,US-pacific-northwest,10.165,34.2,1235.5,6.7,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam413
gadus macrocephalus,finfish,NA,US-alaska,12.35,32.300000000000004,453.59999999999997,5.5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam414
gadus macrocephalus,finfish,Pacific cod,NA,16.434999999999995,NA,NA,NA,NA,burger,"Burger, Joanna, Michael Gochfeld, Christian Jeitner, Sean Burke, Tim Stamm, Ronald Snigaroff, Dan Snigaroff, Robert Patrick, and Jim Weston. Mercury levels and potential risk from subsistence foods from the Aleutians. Science of the Total Environment 384, no. 1-3 (2007): 93-105.",NA,contam415
gadus morhua,finfish,NA,US-north atlantic,21.09,40.9,537.4,6.1,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,contam416
gadus morhua,finfish,cod-Atlantic,Canada-Bay of Fundy,12.028055555555556,NA,NA,NA,NA,karimi,"Legrand M, Arp P, Ritchie C, Chan HM. 2005. Mercury exposure in two coastal communities of the Bay of Fundy, Canada. Environ Res 98(1):14-21.",20,contam417
gadus morhua,finfish,cod-Atlantic (wild),Canada-Atlantic,8.075,NA,NA,NA,NA,karimi,"Hellou J, Warren WG, Payne JF, Belkhode S, Lobel P. 1992b. Heavy metals and other elements in 3 tissues of cod, Gadus morhua from the northwest. Atlantic Mar Pollut Bull 24(9):452-458.",22,contam418
gadus morhua,finfish,cod-Atlantic (wild),Canada-Atlantic,3.61,NA,NA,NA,NA,karimi,"Jardine LB, Burt MDB, Arp PA, Diamond AW. 2009. Mercury comparisons between farmed and wild Atlantic salmon (Salmo salar L.) and Atlantic cod (Gadus morhua L.). Aquac Res 40(10):11481159.",15,contam419
gadus morhua,finfish,cod-Pacific,US-Alaska,16.434999999999995,NA,NA,NA,NA,karimi,"Burger J, Gochfeld M, Shukla T, Jeitner C, Burke S, Donio M, et al. 2007a. Heavy metals in Pacific Cod (Gadus macrocephalus) from the Aleutians: Location, age, size, and risk. J Toxicol Env Health Part A 70(22):1897-1911.",141,contam420
gadus morhua,finfish,cod-Pacific,US-Alaska,12.35,NA,NA,NA,NA,karimi,State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011].,145,contam421
gadus morhua,finfish,cod-Pacific,US-Washington,10.355,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,29,contam422
galeocerdo cuvier,finfish,shark-tiger,US-Atlantic,23.275,NA,NA,NA,NA,karimi,"Hueter RE, Fong WG, Henderson G, French MF, Manire CA. 1995. Methylmercury concentration in shark muscle by species, size and distribution of sharks in Florida coastal waters. Water Air Soil Pollut 80(1-4):893-899.",4,contam423
galeocerdo cuvier,finfish,shark-tiger,US-Hawaii,44.65,NA,NA,NA,NA,karimi,"Thieleke J. 1973. Mercury Levels in five Species of Commercially Important Pelagic fish Taken From the Pacific Ocean Near Hawaii [PhD Dissertation]. Madison, WI: University of Wisconsin, Madison.",13,contam424
galeocerdo cuvier,finfish,shark-tiger,US,206.62499999999997,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,2,contam425
genyonemus lineatus,finfish,croaker-white,US-California,20.323919999999998,NA,NA,NA,NA,karimi,"Fairey R, Taberski K, Lamerdin S, Johnson E, Clark RP, Downing JW, et al. 1997. Organochlorines and other environmental contaminants in muscle tissues of sportfish collected from San Francisco Bay. Mar Pollut Bull 34(12):1058-1071.",25,contam426
genyonemus lineatus,finfish,croaker-white,US-California,9.386,NA,NA,NA,NA,karimi,"Meador JP, Ernest DW, Kagley AN. 2005. A comparison of the non-essential elements cadmium, mercury, and lead found in fish and sediment from Alaska and California. Sci Total Environ 339(1-3):189-205.",15,contam427
genyonemus lineatus,finfish,croaker-white,US-California,19.613846153846154,NA,NA,NA,NA,karimi,San Francisco Estuary Institute. 2007. California Bay  Delta Authority Fish Mercury Project: Year 2 Annual Report (Sport Fish Sampling and Analysis). Contribution no. 535. Available: http://legacy.sfei.org/rmp/data/rmpfishtissue.htm [accessed 10 April 2008].,65,contam428
